,Year,Count,Population,discharges per 100000
0,2023,1251,330745,378.2370103856445
1,2022,1019,338710,300.84733252635
2,2021,734,343517,213.67210356401574
3,2020,1200,347602,345.22240953734445
4,2019,2042,341496,597.9572235106707
5,2018,2123,343932,617.2731819080516
6,2017,2166,344873,628.0572848555845
7,2016,2445,345969,706.7107168561345
8,2015,2141,342929,624.3274846979987
9,2014,2550,344120,741.0205742182959
10,2013,3078,343885,895.0666647280342
11,2012,3506,346235,1012.6070443484916
12,2011,3549,343810,1032.2561880108199
13,2010,3318,343837,964.9921329001822
14,2009,3826,384049,996.2270439449132
15,2008,3136,356061,880.7479617256593
16,2007,3452,359494,960.2385575280811
17,2006,3354,361196,928.5817118683485
18,2005,2995,364805,820.9865544606022
19,2004,3186,372065,856.3019902436401
20,2003,3723,377212,986.9781449158564
21,2002,3071,381802,804.3436126578698
22,2001,3337,381190,875.4164589837089
23,2000,2795,383469,728.8724773058578
