predicted_mean,Year
27.047829690438554,2021
27.076213508607587,2022
28.166520154540784,2023
29.512774039857995,2024
30.9207169553343,2025
32.343528311865576,2026
33.76992329645577,2027
35.19718201585323,2028
36.624648914727864,2029
38.05216598952975,2030
39.47969515785645,2031
40.907227240994104,2032
42.33476002666683,2033
43.762292981666334,2034
45.189825977477064,2035
46.61735898312429,2036
48.04489199114233,2037
49.472424999731786,2038
50.899958008458974,2039
52.32749101721965,2040
53.75502402598803,2041
55.18255703475834,2042
56.61009004352932,2043
58.037623052300205,2044
59.46515606107111,2045
60.89268906984233,2046
62.320222078613256,2047
63.74775508738418,2048
65.1752880961551,2049
66.60282110492602,2050
