,Year,smoke_metric
0,2021,27.047829690438554
1,2022,27.076213508607587
2,2023,28.166520154540784
3,2024,29.512774039857995
4,2025,30.9207169553343
5,2026,32.343528311865576
6,2027,33.76992329645577
7,2028,35.19718201585323
8,2029,36.624648914727864
9,2030,38.05216598952975
10,2031,39.47969515785645
11,2032,40.907227240994104
12,2033,42.33476002666683
13,2034,43.762292981666334
14,2035,45.189825977477064
15,2036,46.61735898312429
16,2037,48.04489199114233
17,2038,49.472424999731786
18,2039,50.899958008458974
19,2040,52.32749101721965
20,2041,53.75502402598803
21,2042,55.18255703475834
22,2043,56.61009004352932
23,2044,58.037623052300205
24,2045,59.46515606107111
25,2046,60.89268906984233
26,2047,62.320222078613256
27,2048,63.74775508738418
28,2049,65.1752880961551
29,2050,66.60282110492602
